Trace Name,Slow Chip,Fast Read Cost,Fast Write Cost,Slow Write Cost,Write Proportion,Normalized Cost (%)
602,DDR5_1600AN,,,,0.003339100674209803,
cc_web,DDR5_1600AN,9.0,19.0,35.0,0.11654534732869443,47.032840639661
cc_twi,DDR5_1600AN,10.0,17.0,36.0,0.19828775222459522,0.07732593232873389
cc_road,DDR5_1600AN,10.0,25.0,38.0,0.45078891407925525,115.24210848176418
pr_road,DDR5_1600AN,9.0,19.0,36.0,0.24895824304626407,1.1680826487568976
bfs_road,DDR5_1600AN,10.0,19.0,37.0,0.2933315195890836,32.294594236106825
620,DDR5_1600AN,11.0,12.0,35.0,0.2831230830566515,1504.0143032105677
bc_web,DDR5_1600AN,12.0,48.0,56.0,0.252228202765463,0.035865345815564505
607,DDR5_1600AN,17.0,144.0,144.0,0.03891926349081815,0.0
623,DDR5_1600AN,10.0,10.0,32.0,0.002283889514285172,4.94752623688156
pr_twi,DDR5_1600AN,10.0,22.0,36.0,0.026751775261207138,0.0
621,DDR5_1600AN,10.0,28.0,40.0,0.04877492705022196,40.041684194424256
bc_twi,DDR5_1600AN,10.0,16.0,36.0,0.11428361105029106,5.201716294035864
628,DDR5_1600AN,12.0,39.0,45.0,0.07389178247321855,50.65301847014678
pr_web,DDR5_1600AN,9.0,25.0,37.0,0.05167744843633883,0.0
bfs_twi,DDR5_1600AN,10.0,19.0,36.0,0.4743853753139674,1899.8642462170394
bc_road,DDR5_1600AN,10.0,15.0,36.0,0.3722607137080669,114.1867013325347
605,DDR5_1600AN,11.0,0.0,0.0,0.0035270076140637057,0.0
603,DDR5_1600AN,13.0,146.0,146.0,0.0032482621772392016,0.0
bfs_web,DDR5_1600AN,10.0,49.0,54.0,0.05340111336687614,0.0
654,DDR5_1600AN,11.0,31.0,43.0,0.14040109807947893,0.0027207247064278896
619,DDR5_1600AN,13.0,13.0,35.0,0.23888443123804148,0.030718096952457603
602,DDR5_3200AN,,,,0.003339100674209803,
cc_web,DDR5_3200AN,9.0,19.0,21.0,0.11654534732869443,0.03369822932956667
cc_twi,DDR5_3200AN,10.0,17.0,20.0,0.19828775222459522,0.0
cc_road,DDR5_3200AN,10.0,25.0,27.0,0.45078891407925525,0.007385690741187301
pr_road,DDR5_3200AN,9.0,19.0,21.0,0.24895824304626407,0.0
bfs_road,DDR5_3200AN,10.0,19.0,22.0,0.2933315195890836,1.579385845932224
620,DDR5_3200AN,11.0,12.0,18.0,0.2831230830566515,7.616350275566443
bc_web,DDR5_3200AN,12.0,48.0,49.0,0.252228202765463,0.0
607,DDR5_3200AN,17.0,144.0,144.0,0.03891926349081815,0.0
623,DDR5_3200AN,10.0,10.0,16.0,0.002283889514285172,1.3493253373313343
pr_twi,DDR5_3200AN,10.0,22.0,23.0,0.026751775261207138,0.0
621,DDR5_3200AN,10.0,28.0,30.0,0.04877492705022196,4.202837584611266
bc_twi,DDR5_3200AN,10.0,16.0,19.0,0.11428361105029106,0.0
628,DDR5_3200AN,12.0,39.0,39.0,0.07389178247321855,0.0
pr_web,DDR5_3200AN,9.0,25.0,27.0,0.05167744843633883,0.0
bfs_twi,DDR5_3200AN,10.0,19.0,21.0,0.4743853753139674,0.23924924125732194
bc_road,DDR5_3200AN,10.0,15.0,19.0,0.3722607137080669,1.299813112957458
605,DDR5_3200AN,11.0,0.0,0.0,0.0035270076140637057,0.0
603,DDR5_3200AN,13.0,146.0,146.0,0.0032482621772392016,0.0
bfs_web,DDR5_3200AN,10.0,49.0,49.0,0.05340111336687614,0.0
654,DDR5_3200AN,11.0,31.0,34.0,0.14040109807947893,0.0
619,DDR5_3200AN,13.0,13.0,19.0,0.23888443123804148,0.0
602,DDR5_6400AN,,,,0.003339100674209803,
cc_web,DDR5_6400AN,9.0,19.0,19.0,0.11654534732869443,0.0
cc_twi,DDR5_6400AN,10.0,17.0,17.0,0.19828775222459522,0.0
cc_road,DDR5_6400AN,10.0,25.0,25.0,0.45078891407925525,0.0
pr_road,DDR5_6400AN,9.0,19.0,19.0,0.24895824304626407,0.0
bfs_road,DDR5_6400AN,10.0,19.0,19.0,0.2933315195890836,0.0
620,DDR5_6400AN,11.0,12.0,12.0,0.2831230830566515,0.0
bc_web,DDR5_6400AN,12.0,48.0,48.0,0.252228202765463,0.0
607,DDR5_6400AN,17.0,144.0,144.0,0.03891926349081815,0.0
623,DDR5_6400AN,10.0,10.0,10.0,0.002283889514285172,0.0
pr_twi,DDR5_6400AN,10.0,22.0,22.0,0.026751775261207138,0.0
621,DDR5_6400AN,10.0,28.0,28.0,0.04877492705022196,0.0
bc_twi,DDR5_6400AN,10.0,16.0,16.0,0.11428361105029106,0.0
628,DDR5_6400AN,12.0,39.0,39.0,0.07389178247321855,0.0
pr_web,DDR5_6400AN,9.0,25.0,25.0,0.05167744843633883,0.0
bfs_twi,DDR5_6400AN,10.0,19.0,19.0,0.4743853753139674,0.0
bc_road,DDR5_6400AN,10.0,15.0,15.0,0.3722607137080669,0.0
605,DDR5_6400AN,11.0,0.0,0.0,0.0035270076140637057,0.0
603,DDR5_6400AN,13.0,146.0,146.0,0.0032482621772392016,0.0
bfs_web,DDR5_6400AN,10.0,49.0,49.0,0.05340111336687614,0.0
654,DDR5_6400AN,11.0,31.0,31.0,0.14040109807947893,0.0
619,DDR5_6400AN,13.0,13.0,13.0,0.23888443123804148,0.0
