config,trace,memory_access_cycles_recorded_core_0,cycles_recorded_core_0,llc_mshr_unavailable,llc_read_misses,llc_read_access,llc_write_misses,llc_write_access,llc_eviction,num_expected_insts,total_num_other_requests,total_num_write_requests,total_num_read_requests,memory_system_cycles,avg_write_latency_0,avg_read_latency_0,read_queue_len_avg_0,write_latency_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,total_rfm_cycles_rank1,total_rfm_cycles_rank0
DDR4_3200W_x16_cfg.yaml,600,70324.0,4535405.0,492.0,8476.0,2452420.0,558.0,1518370.0,0.0,10000000.0,0.0,0.0,3487.0,1700777.0,NaN,90.4287338,0.0979640484,0.0,0.0,170050.0,0.0,0.0,315325.0,0.0020196652,2251.0,3435.0,518.0,718.0,518.0,0.0999837145,718.0,2251.0,0.0,718.0,0.0,0.0,166615.0,0.0,2251.0,518.0,3487.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,602,3333174.0,9307591.0,97.0,1199064.0,2802936.0,1566.0,52147.0,181510.0,10000000.0,0.0,407.0,197891.0,3490347.0,66.4078598,57.4536133,1.76847374,27028.0,464344.0,6655903.0,0.0,407.0,11369553.0,0.00543556269,189007.0,18972.0,5033.0,4258.0,5033.0,1.90694594,4030.0,188828.0,0.133036628,4030.0,0.0,228.0,6172587.0,179.0,188828.0,5033.0,197891.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,605,1712951.0,7833178.0,186636.0,488685.0,2928156.0,2166.0,779392.0,129090.0,10000000.0,0.0,274.0,145474.0,2937442.0,82.3941574,120.688622,3.5228045,22576.0,217816.0,10586127.0,0.0,274.0,17557056.0,0.00690294476,84135.0,20277.0,4146.0,57467.0,4140.0,3.60385919,57207.0,84127.0,0.0741515905,57207.0,6.0,260.0,10348034.0,8.0,84127.0,4140.0,145474.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,625,863489.0,6330268.0,2051.0,75995.0,2646974.0,13044.0,1328066.0,21573.0,10000000.0,0.0,965.0,37957.0,2373851.0,80.9533691,109.24633,1.03218484,78120.0,117447.0,2580889.0,0.0,965.0,4146663.0,0.00555595104,24503.0,13189.0,2493.0,11926.0,2492.0,1.08721614,11035.0,24430.0,0.0494753048,11035.0,1.0,891.0,2450253.0,73.0,24430.0,2492.0,37957.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,631,287852.0,4644336.0,0.0,14753.0,2446877.0,11456.0,1180453.0,4.0,10000000.0,0.0,1.0,5531.0,1741626.0,84.0,116.839447,0.185480118,84.0,165.0,332063.0,0.0,1.0,646239.0,0.00508777425,1801.0,8861.0,1677.0,2054.0,1677.0,0.190662637,2053.0,1801.0,9.47390508,2053.0,0.0,1.0,323037.0,0.0,1801.0,1677.0,5531.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,657,388005.0,5195698.0,0.0,40025.0,2523907.0,34.0,644922.0,34.0,10000000.0,0.0,0.0,15959.0,1948387.0,NaN,67.7609482,0.352569073,0.0,0.0,695517.0,0.0,0.0,1081397.0,0.00440158974,15674.0,8576.0,284.0,1.0,284.0,0.356970668,1.0,15674.0,0.0,1.0,0.0,0.0,686941.0,0.0,15674.0,284.0,15959.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,641,89963.0,4250044.0,258.0,3954.0,2473113.0,810.0,942742.0,0.0,10000000.0,0.0,0.0,1939.0,1593767.0,NaN,102.764313,0.0617762804,0.0,0.0,105484.0,0.0,0.0,199260.0,0.00440905103,796.0,7027.0,727.0,416.0,727.0,0.0661853328,416.0,796.0,0.0,416.0,0.0,0.0,98457.0,0.0,796.0,727.0,1939.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,648,4109.0,4673702.0,101.0,851.0,2456104.0,141.0,1559963.0,0.0,10000000.0,0.0,0.0,220.0,1752638.0,NaN,89.0363617,0.00660547148,0.0,0.0,12077.0,0.0,0.0,19588.0,0.000285284244,164.0,500.0,34.0,22.0,34.0,0.00689075561,22.0,164.0,0.0,22.0,0.0,0.0,11577.0,0.0,164.0,34.0,220.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,620,2704018.0,10402262.0,52405.0,221734.0,2610380.0,43267.0,1407619.0,96744.0,10000000.0,0.0,18390.0,113126.0,3900848.0,83.5508423,123.898918,1.88156343,1536500.0,3748465.0,11117080.0,0.0,18390.0,14016189.0,0.00741428509,46494.0,28922.0,6780.0,78242.0,6699.0,2.8499136,60099.0,46328.0,0.96093595,60099.0,81.0,18143.0,7339693.0,166.0,46328.0,6699.0,113126.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,623,3238766.0,11465328.0,2950.0,879161.0,2701143.0,2435.0,127058.0,251653.0,10000000.0,0.0,426.0,268037.0,4299498.0,83.4366226,78.7277145,3.158319,35544.0,47213.0,13650850.0,0.0,426.0,21101940.0,0.00568694295,248335.0,24451.0,5485.0,14643.0,5485.0,3.17498684,14223.0,248329.0,0.0109810494,14223.0,0.0,420.0,13579186.0,6.0,248329.0,5485.0,268037.0,NaN,NaN
