total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,slow_timing
0,142556,30103,857444,10956177,0,0,1135.84033,161920844,NaN,0,0.159459233,153107995,153610370,0,142556,0,0.045853131,22729,502375,31784,88025,0,14.0204353,0,0,13.9745827,0,31784,88025,0,22729,0,0,0,bc_twi,DDR5_3200BN
0,142556,34943,857444,10955797,0,0,1138.62695,162318117,NaN,0,0.156553641,153900419,154368478,0,142556,0,0.042722497,22315,468059,32480,87744,0,14.0901184,0,0,14.0473957,0,32480,87744,0,22315,0,0,0,bc_twi,DDR5_3200AN
0,142556,35501,857444,10954197,0,0,1133.39612,161572413,NaN,0,0.161220163,152371641,152913607,0,142556,0,0.049475648,22980,541966,31676,87882,0,13.959362,0,0,13.9098873,0,31676,87882,0,22980,0,0,0,bc_twi,DDR5_3200C
0,142556,34560,857444,10954438,0,0,1143.46436,163007700,NaN,0,0.161687016,154465992,154897852,0,142556,0,0.039423291,23048,431860,28685,90814,0,14.140192,0,0,14.1007671,0,28685,90814,0,23048,0,0,0,bc_twi,DDR5_3600BN
0,142556,32127,857444,10957145,0,0,1148.4082,163712478,NaN,0,0.15958634,155917193,156287477,0,142556,0,0.033793841,22746,370284,29074,90711,0,14.2635212,0,0,14.2297287,0,29074,90711,0,22746,0,0,0,bc_twi,DDR5_3600AN
0,142556,36791,857444,10957635,0,0,1138.80713,162343792,NaN,0,0.163730621,153417650,153869856,0,142556,0,0.041268576,23338,452206,28394,90807,0,14.0422506,0,0,14.0009813,0,28394,90807,0,23338,0,0,0,bc_twi,DDR5_3600C
0,142556,41385,857444,10971477,0,0,1149.33508,163844603,NaN,0,0.163957432,155661142,156017937,0,142556,0,0.032520235,23370,356795,26181,92986,0,14.2203217,0,0,14.1878014,0,26181,92986,0,23370,0,0,0,bc_twi,DDR5_4000BN
0,142556,38947,857444,10953328,0,0,1154.12402,164527317,NaN,0,0.160751238,156953943,157275117,0,142556,0,0.029322047,22913,321174,26696,92928,0,14.3586607,0,0,14.3293381,0,26696,92928,0,22913,0,0,0,bc_twi,DDR5_4000AN
0,142556,36448,857444,10961711,0,0,1147.14624,163532571,NaN,0,0.16733548,154844224,155238506,0,142556,0,0.035969019,23852,394282,25711,92977,0,14.1618872,0,0,14.1259174,0,25711,92977,0,23852,0,0,0,bc_twi,DDR5_4000C
0,142556,40674,857444,10963148,0,0,1154.91956,164640705,NaN,0,0.165763989,156500063,156823260,0,142556,0,0.02948031,23628,323197,23929,94983,0,14.3045835,0,0,14.2751026,0,23929,94983,0,23628,0,0,0,bc_twi,DDR5_4400BN
0,142556,41678,857444,10976268,0,0,1162.18298,165676163,NaN,0,0.162880436,158176905,158463565,0,142556,0,0.026116345,23216,286660,24371,94947,0,14.4369259,0,0,14.4108095,0,24371,94947,0,23216,0,0,0,bc_twi,DDR5_4400AN
